Esquema      , acc_train         , acc_test          , recall_test       , f1_test           , auc_test
DE_best_2    , 0.933212778782399 , 0.9269624573378838, 0.954758190327613 , 0.9501734358679185, 0.955793862006581
Standard_Otsu, 0.9327707454289735, 0.9263936291240047, 0.9541341653666147, 0.9497777911176251, 0.955189501697715
DE_rand_1    , 0.931866586296966 , 0.9258248009101251, 0.9516380655226209, 0.9492841332626065, 0.9556621088372946
DE_rand_2    , 0.9311231665662045, 0.9255972696245733, 0.9527301092043681, 0.9491839380949129, 0.9557840296805148
DE_best_1    , 0.9310427968655818, 0.925028441410694 , 0.9533541341653665, 0.9488523017406016, 0.954566132225121
